업소아이디,업소명,분류코드,분류코드명,업소 주소,업소 전화번호,추천수,상품명,상품가격(일반)(원)
8633,돌마리유황오리,1,한식,서울특별시 송파구 가락로 66 (석촌동),423-6231,155,물냉면,5000
8633,돌마리유황오리,1,한식,서울특별시 송파구 가락로 66 (석촌동),423-6231,155,삼겹살(국내산/200g),11000
263,장미 미용실,5,이 미용업,서울특별시 중랑구 용마산로125가길 26 (신내동),-,137,미용료(파마),20000
784,강헤어컬렉션,5,이 미용업,서울특별시 중랑구 면목로 430 (면목동),2208-4790     ,111,파마,25000
8171,벧엘 칼국수,1,한식,서울특별시 송파구 마천로41길 22 (마천동),408-5151,106,칼국수,4000
8171,벧엘 칼국수,1,한식,서울특별시 송파구 마천로41길 22 (마천동),408-5151,106,물냉면,4000
3906,보라매25시해장국,1,한식,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),2604-6952       ,101,돌솥비빔밥,4000
3906,보라매25시해장국,1,한식,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),2604-6952       ,101,우렁된장,4000
3906,보라매25시해장국,1,한식,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),2604-6952       ,101,양푼비빔밥,4000
5230,목화미용실,5,이 미용업,서울특별시 송파구 거마로17길 11 (거여동),406-7273        ,98,커트,5000
3098,예성미용실,5,이 미용업,서울특별시 양천구 곰달래로5길 16 (신월동),2693-5274       ,98,커트,6000
5230,목화미용실,5,이 미용업,서울특별시 송파구 거마로17길 11 (거여동),406-7273        ,98,파마,15000
3098,예성미용실,5,이 미용업,서울특별시 양천구 곰달래로5길 16 (신월동),2693-5274       ,98,파마,20000
8265,해피분식,1,한식,서울특별시 구로구 중앙로1길 18-19 (고척동 우성현대아파트),02-2688-1242,75,된장찌개,4000
8265,해피분식,1,한식,서울특별시 구로구 중앙로1길 18-19 (고척동 우성현대아파트),02-2688-1242,75,김치찌개,4000
3545,윤희미용실,5,이 미용업,서울특별시 양천구 목동중앙남로5길 22 (목동),2653-1671       ,71,컷트,5000
5755,머리잘하는집,5,이 미용업,서울특별시 양천구 남부순환로57길 24-1 (신월동),2692-3758       ,68,파마,15000
5755,머리잘하는집,5,이 미용업,서울특별시 양천구 남부순환로57길 24-1 (신월동),2692-3758       ,68,컷트,6000
5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로7길 9 (중곡동),3437-9599       ,65,삼겹살,8000
7204,으뜸크리닝,7,세탁업,서울특별시 광진구 아차산로51길 74 (구의동),446-1756,65,의복 수선료,5000
5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로7길 9 (중곡동),3437-9599       ,65,갈비탕,5000
5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로7길 9 (중곡동),3437-9599       ,65,돼지갈비,8000
7204,으뜸크리닝,7,세탁업,서울특별시 광진구 아차산로51길 74 (구의동),446-1756,65,양복 세탁료,6000
7786,한우마당,1,한식,서울특별시 중구 남대문로5길 7 (북창동),02-3789-7792,64,된장찌개,6000
6778,흥부농장,1,한식,서울특별시 광진구 뚝섬로59길 81-2 (자양동),3437-3611       ,64,냉면,4000
6778,흥부농장,1,한식,서울특별시 광진구 뚝섬로59길 81-2 (자양동),3437-3611       ,64,김치찌개,5000
6778,흥부농장,1,한식,서울특별시 광진구 뚝섬로59길 81-2 (자양동),3437-3611       ,64,삼겹삽(200g),6000
7786,한우마당,1,한식,서울특별시 중구 남대문로5길 7 (북창동),02-3789-7792,64,생육회(200g),25000
4826,김밥나라,1,한식,서울특별시 광진구 용마산로 52 (중곡동),446-2442        ,63,김밥,1500
6378,다비다식당,1,한식,서울특별시 광진구 동일로 444 (중곡동),466-1074        ,63,삼겹살(200g),10000
6779,그린세탁,7,세탁업,서울특별시 광진구 뚝섬로54길 57 (자양동),456-8301        ,63,의복 수선료,4000
4826,김밥나라,1,한식,서울특별시 광진구 용마산로 52 (중곡동),446-2442        ,63,돈가스,4000
6779,그린세탁,7,세탁업,서울특별시 광진구 뚝섬로54길 57 (자양동),456-8301        ,63,양복 세탁료,6000
1299,명신미용실,5,이 미용업,서울특별시 광진구 자양로37길 8 (구의동),453-2774        ,63,미용료(파마),15000
1299,명신미용실,5,이 미용업,서울특별시 광진구 자양로37길 8 (구의동),453-2774        ,63,미용료(커트),5000
4412,헤어포인트,5,이 미용업,서울특별시 광진구 능동로3길 44 (자양동),498-1746        ,63,미용료(파마),30000
4412,헤어포인트,5,이 미용업,서울특별시 광진구 능동로3길 44 (자양동),498-1746        ,63,미용료(커트),9000
6384,자매식당,1,한식,서울특별시 광진구 구의로 16 (구의동),3437-8760       ,63,냉면,5000
6384,자매식당,1,한식,서울특별시 광진구 구의로 16 (구의동),3437-8760       ,63,삼겹살,12000
6384,자매식당,1,한식,서울특별시 광진구 구의로 16 (구의동),3437-8760       ,63,비빔밥,5500
4826,김밥나라,1,한식,서울특별시 광진구 용마산로 52 (중곡동),446-2442        ,63,라면,3000
4576,광장스튜디오,13,기타서비스업종,서울특별시 광진구 광장로 79 (광장동),444-6190        ,62,사진촬영료,15000
3263,스타머리방,5,이 미용업,서울특별시 양천구 신월로9길 22 (신월동),2601-7843       ,62,컷트(성인),6000
4407,한일세탁,7,세탁업,서울특별시 광진구 자양번영로5길 7 (자양동),447-2856        ,62,의복 수선료,4000
6871,궁원 중화요리,2,중식,서울특별시 동대문구 사가정로 229 (장안동),2212-7749       ,62,짬뽕,4000
3263,스타머리방,5,이 미용업,서울특별시 양천구 신월로9길 22 (신월동),2601-7843       ,62,파마,15000
3312,모짜르트헤어샵,5,이 미용업,서울특별시 광진구 자양번영로1길 12 (자양동),447-1623        ,62,미용료(커트),8000
6871,궁원 중화요리,2,중식,서울특별시 동대문구 사가정로 229 (장안동),2212-7749       ,62,자장면,3000
2937,이계임헤어모드,5,이 미용업,서울특별시 광진구 자양로15길 101 (자양동),446-9831        ,62,미용료(파마),40000
2936,머리천국미용실,5,이 미용업,서울특별시 광진구 뚝섬로49길 31 (자양동),458-5619        ,62,미용료(파마),25000
3263,스타머리방,5,이 미용업,서울특별시 양천구 신월로9길 22 (신월동),2601-7843       ,62,컷트(학생),5000
2936,머리천국미용실,5,이 미용업,서울특별시 광진구 뚝섬로49길 31 (자양동),458-5619        ,62,미용료(커트),10000
2937,이계임헤어모드,5,이 미용업,서울특별시 광진구 자양로15길 101 (자양동),446-9831        ,62,미용료(커트),10000
1264,코닥스튜디오,13,기타서비스업종,서울특별시 광진구 영화사로 4 (중곡동),457-6542        ,62,사진인화료,7000
4824,유나미용실,5,이 미용업,서울특별시 광진구 동일로4길 44 (자양동),463-7832        ,62,미용료(커트),10000
1264,코닥스튜디오,13,기타서비스업종,서울특별시 광진구 영화사로 4 (중곡동),457-6542        ,62,사진촬영료,12000
4824,유나미용실,5,이 미용업,서울특별시 광진구 동일로4길 44 (자양동),463-7832        ,62,미용료(파마),20000
4407,한일세탁,7,세탁업,서울특별시 광진구 자양번영로5길 7 (자양동),447-2856        ,62,양복 세탁료,7000
4576,광장스튜디오,13,기타서비스업종,서울특별시 광진구 광장로 79 (광장동),444-6190        ,62,사진인화료,8000
3312,모짜르트헤어샵,5,이 미용업,서울특별시 광진구 자양번영로1길 12 (자양동),447-1623        ,62,미용료(파마),20000
6669,짱구세탁소,7,세탁업,서울특별시 강서구 강서로45라길 70 (내발산동),02-2661-5994,61,세탁료,6000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,오징어탕수육 중,13000
6856,자매식당,1,한식,서울특별시 동대문구 이문로28길 16 (이문동),967-9358        ,60,된장찌개,5000
6856,자매식당,1,한식,서울특별시 동대문구 이문로28길 16 (이문동),967-9358        ,60,김치찌개,5000
1113,해주냉면,1,한식,서울특별시 송파구 올림픽로12길 5-22 (잠실동),424-7192        ,60,물냉면,4500
6856,자매식당,1,한식,서울특별시 동대문구 이문로28길 16 (이문동),967-9358        ,60,순두부찌개,5000
7501,한연수짜장,2,중식,서울특별시 송파구 송이로31길 4-11 (문정동),402-3414,60,자장면,3000
7501,한연수짜장,2,중식,서울특별시 송파구 송이로31길 4-11 (문정동),402-3414,60,짬뽕,4000
7501,한연수짜장,2,중식,서울특별시 송파구 송이로31길 4-11 (문정동),402-3414,60,탕수육(中),9000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,김치찌개된장찌개백반(점심특선),5000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,등심(수입산.600g),25000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,등심(한우 600g),58000
7338,우돈골,1,한식,서울특별시 송파구 위례성대로20길 24 (오금동),3401-4585,60,삼겹살(국내산 600g),22000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,오징어탕수육 소,11000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,탕수육(돼지고기)대,15000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,탕수육(돼지고기)소,11000
7142,제주토방탕수육,2,중식,서울특별시 송파구 성내천로 212 (마천동),431-0049,60,탕수육(돼지고기)중,14000
5713,김밥나라,1,한식,서울특별시 강서구 양천로59길 46 (가양동),02-3664-8327,59,돈가스,5500
5713,김밥나라,1,한식,서울특별시 강서구 양천로59길 46 (가양동),02-3664-8327,59,김밥,1300
7549,경노이발관,5,이 미용업,서울특별시 노원구 석계로 27 (월계동),02-917-7050,58,이용료(커트),5000
6978,김복남헤어장,5,이 미용업,서울특별시 송파구 백제고분로32길 6-1 (삼전동 대성빌딩),422-4325        ,58,미용료(커트),10000
2409,샬롬미용실,5,이 미용업,서울특별시 송파구 삼전로24길 17,419-6540        ,58,컷트,5000
2409,샬롬미용실,5,이 미용업,서울특별시 송파구 삼전로24길 17,419-6540        ,58,파마,15000
6978,김복남헤어장,5,이 미용업,서울특별시 송파구 백제고분로32길 6-1 (삼전동 대성빌딩),422-4325        ,58,미용료(파마),30000
7814,독립문 모텔,8,숙박업(호텔여관),서울특별시 종로구 통일로 220 (교북동),737-3555,57,숙박료,35000
1460,남영해물탕,1,한식,서울특별시 용산구 한강대로80길 12 (남영동),798-2545        ,56,알탕,6000
736,장수설렁탕,1,한식,서울특별시 송파구 백제고분로 148 (잠실동),415-1472        ,56,설렁탕,5000
736,장수설렁탕,1,한식,서울특별시 송파구 백제고분로 148 (잠실동),415-1472        ,56,불고기 (호주산.200g),9000
1460,남영해물탕,1,한식,서울특별시 용산구 한강대로80길 12 (남영동),798-2545        ,56,불고기백반,5000
7029,미미세탁소,7,세탁업,서울특별시 양천구 목동동로 100 (신정동 목동신시가지아파트13단지),2645-5526,56,양복1벌,4000
7299,백미식당,1,한식,서울특별시 강서구 공항대로59가길 25 (등촌동),02-3662-9288,56,김치찌개,5000
7332,아주세탁,7,세탁업,서울특별시 송파구 오금로32길 10 (송파동 미성맨션),420-0235,56,양복세탁료,5000
7299,백미식당,1,한식,서울특별시 강서구 공항대로59가길 25 (등촌동),02-3662-9288,56,된장찌개,5000
6759,부부칼국수,1,한식,서울특별시 강서구 강서로56가길 47 (등촌동) 101호 동진빌딩,02-3662-4594,41,냉면,6000
6759,부부칼국수,1,한식,서울특별시 강서구 강서로56가길 47 (등촌동) 101호 동진빌딩,02-3662-4594,41,칼국수,6000
7833,별미 바지락칼국수,1,한식,서울특별시 강동구 풍성로 160 (성내동),470-7393,33,비빔밥,5000
7833,별미 바지락칼국수,1,한식,서울특별시 강동구 풍성로 160 (성내동),470-7393,33,칼국수,5000
7832,투가리,1,한식,서울특별시 강동구 양재대로 1389 (성내동),476-6005,32,김치찌개,3000
7832,투가리,1,한식,서울특별시 강동구 양재대로 1389 (성내동),476-6005,32,된장찌개,3000
7802,박리김밥,1,한식,서울특별시 중랑구 공릉로2길 22 (묵동),02-948-7101,23,김밥,1300
7802,박리김밥,1,한식,서울특별시 중랑구 공릉로2길 22 (묵동),02-948-7101,23,된장찌개,4000
7663,소소한날,1,한식,서울특별시 영등포구 도림로 462 (문래동3가),02-2068-2220,22,돼지갈비,11000
7663,소소한날,1,한식,서울특별시 영등포구 도림로 462 (문래동3가),02-2068-2220,22,삼겹살,11000
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,냉면(물),5000
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,갈비탕,6000
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,김치찌개 백반,6000
3887,부남돌구이,1,한식,서울특별시 종로구 대학로2길 65-5 (효제동),742-2451        ,10,된장찌개 백반,6000
2022,봉주르,1,한식,서울특별시 마포구 와우산로 155-1 (서교동),332-8373        ,9,백반,3900
4526,깡통참숯돼지갈비,1,한식,서울특별시 성북구 보문로30라길 17 (동선동2가),928-3343        ,9,돼지갈비(300g),12000
2699,극동칼라,13,기타서비스업종,서울특별시 구로구 구로동로26길 98 (구로동),02-855-1484,9,인화료,200
7340,동춘원,2,중식,서울특별시 중랑구 봉우재로71길 41 (망우동),434-9454,9,짜장,2000
6665,산정,1,한식,서울특별시 중구 동호로 288 (장충동2가),2277-0913       ,9,된장찌개,5000
2832,투가리올림픽,1,한식,서울특별시 송파구 백제고분로 465 (방이동),386-7004,9,물냉면,3500
7574,대림각,2,중식,서울특별시 노원구 섬밭로 263 (중계동),02-949-2748,9,자장면,3000
7333,신애사진관,13,기타서비스업종,서울특별시 송파구 백제고분로19길 27 (잠실동),415-1869,9,사진촬영료(증명8매),15000
4526,깡통참숯돼지갈비,1,한식,서울특별시 성북구 보문로30라길 17 (동선동2가),928-3343        ,9,삼겹살(200g),12000
6424,차순옥미용실,5,이 미용업,서울특별시 강서구 허준로 176 (가양동 가양도시개발공사아파트(가양8단지아파트)) 107호,02-2658-6478,9,컷트(성인),7000
4052,인터미용실,5,이 미용업,서울특별시 종로구 숭인동길 46 (숭인동) 1086,922-6363        ,9,파마,30000
2225,일봉,3,경양식일식,서울특별시 종로구 종로 192-1 (종로4가),2266-2540       ,9,생선초밥,10000
2699,극동칼라,13,기타서비스업종,서울특별시 구로구 구로동로26길 98 (구로동),02-855-1484,9,촬영료,8000
6665,산정,1,한식,서울특별시 중구 동호로 288 (장충동2가),2277-0913       ,9,김치전골(2인이상),7000
4052,인터미용실,5,이 미용업,서울특별시 종로구 숭인동길 46 (숭인동) 1086,922-6363        ,9,컷트,8000
7101,SBS사진실,13,기타서비스업종,서울특별시 중랑구 망우로32길 49 (면목동),495-1440        ,9,사진찰영료,10000
1447,에덴미용실,5,이 미용업,서울특별시 송파구 마천로61나길 10 (마천동),400-2829        ,9,미용료(커트),7000
6424,차순옥미용실,5,이 미용업,서울특별시 강서구 허준로 176 (가양동 가양도시개발공사아파트(가양8단지아파트)) 107호,02-2658-6478,9,퍼머,25000
3120,모아모아세탁,7,세탁업,서울특별시 송파구 송이로 19 (송파동),419-1242        ,9,양복세탁료,5000
7340,동춘원,2,중식,서울특별시 중랑구 봉우재로71길 41 (망우동),434-9454,9,짬뽕,2500
7333,신애사진관,13,기타서비스업종,서울특별시 송파구 백제고분로19길 27 (잠실동),415-1869,9,사진인화료,250
1447,에덴미용실,5,이 미용업,서울특별시 송파구 마천로61나길 10 (마천동),400-2829        ,9,미용료(파마),20000
2832,투가리올림픽,1,한식,서울특별시 송파구 백제고분로 465 (방이동),386-7004,9,비빔밥,3500
7117,정수 대중목욕탕,6,목욕업,서울특별시 강서구 화곡로44나길 65 (화곡동),02-2699-4330,8,목욕료,5000
7651,세림가든,1,한식,서울특별시 영등포구 경인로 874 (영등포동1가),02-2671-5678,8,돼지갈비,12000
1145,원조막국수,1,한식,서울특별시 강북구 노해로33길 49 (수유동),991-5215        ,8,냉면,5000
8210,다사랑분식,1,한식,서울특별시 관악구 난우길 18 (신림동),852-5010,8,김밥,2000
7651,세림가든,1,한식,서울특별시 영등포구 경인로 874 (영등포동1가),02-2671-5678,8,냉면(물),5000
7198,원이발소,5,이 미용업,서울특별시 관악구 청룡8길 77 (봉천동),882-6191,8,이용료(커트),5000
8349,건영헤어포맨,5,이 미용업,서울특별시 구로구 구로동로12길 32 (구로동),02-865-0554,8,이용료(커트),6000
2700,제주똥돼지촌,1,한식,서울특별시 구로구 구로동로28길 98 (구로동),02-837-3077,8,오겹삼겹살(국내산200그램),11000
7595,다운이,1,한식,서울특별시 노원구 한글비석로 444 (상계동) 교림노원프라자 지하1층,02-937-1160,8,김치찌개 백반,3500
8210,다사랑분식,1,한식,서울특별시 관악구 난우길 18 (신림동),852-5010,8,비빔밥,4000
8210,다사랑분식,1,한식,서울특별시 관악구 난우길 18 (신림동),852-5010,8,김치찌개,4500
4955,김밥천국,1,한식,서울특별시 강서구 가로공원로76길 61 (화곡동),02-2692-5955,8,김밥,2000
4955,김밥천국,1,한식,서울특별시 강서구 가로공원로76길 61 (화곡동),02-2692-5955,8,돈가스,5500
4955,김밥천국,1,한식,서울특별시 강서구 가로공원로76길 61 (화곡동),02-2692-5955,8,된장찌개,5500
8140,더구어,1,한식,서울특별시 서초구 효령로31길 58 (방배동),3474-9293,7,된장찌개,4900
8093,축복미용실,5,이 미용업,서울특별시 도봉구 해등로 144 (창동),02-906-9692,7,커트,5000
8093,축복미용실,5,이 미용업,서울특별시 도봉구 해등로 144 (창동),02-906-9692,7,파마,13000
8122,이리이발관,5,이 미용업,서울특별시 서대문구 거북골로 208 (북가좌동),374-3875,7,커트,5000
7901,대형갈비,1,한식,서울특별시 구로구 구로동로 100 (구로동),02-864-0719,7,삼겹살(국내산200g),1000
8097,미성각,2,중식,서울특별시 도봉구 노해로 389 (창동),02-996-7766,7,자장면(배달시 가격차등 : 4500),3500
272,홍노래방,13,기타서비스업종,서울특별시 마포구 홍익로 1 (서교동),3142-1551       ,7,노래방이용료(3인),15000
8097,미성각,2,중식,서울특별시 도봉구 노해로 389 (창동),02-996-7766,7,짬뽕(배달시 가격차등 : 5000),4000
272,홍노래방,13,기타서비스업종,서울특별시 마포구 홍익로 1 (서교동),3142-1551       ,7,노래방이용료(2인),15000
7899,길손한정식,1,한식,서울특별시 구로구 고척로40길 33-5 (고척동),02-2625-0277,7,설렁탕,4000
7899,길손한정식,1,한식,서울특별시 구로구 고척로40길 33-5 (고척동),02-2625-0277,7,삼겹살(수입산200g),6000
7899,길손한정식,1,한식,서울특별시 구로구 고척로40길 33-5 (고척동),02-2625-0277,7,갈비탕,5000
7653,제주흑돼지,1,한식,서울특별시 영등포구 영중로4길 5 (영등포동3가),02-2678-0610,7,불고기,15000
7653,제주흑돼지,1,한식,서울특별시 영등포구 영중로4길 5 (영등포동3가),02-2678-0610,7,김치찌개,7000
8082,도봉산콩나물국밥,1,한식,서울특별시 도봉구 도봉로181길 53 (도봉동),02-955-9335,7,콩나물국밥,3500
8082,도봉산콩나물국밥,1,한식,서울특별시 도봉구 도봉로181길 53 (도봉동),02-955-9335,7,야채비빔밥,3500
272,홍노래방,13,기타서비스업종,서울특별시 마포구 홍익로 1 (서교동),3142-1551       ,7,노래방이용료,15000
4102,별미용실,5,이 미용업,서울특별시 강북구 삼양로41길 17 (미아동),983-0650        ,7,파마,15000
8697,학생회관분식,1,한식,서울특별시 강동구 구천면로 404 (천호동) 11호,02-486-4062,7,제육덮밥,5000
4102,별미용실,5,이 미용업,서울특별시 강북구 삼양로41길 17 (미아동),983-0650        ,7,컷트,5000
8697,학생회관분식,1,한식,서울특별시 강동구 구천면로 404 (천호동) 11호,02-486-4062,7,물냉면,4500
8188,수제비손칼국수,1,한식,서울특별시 관악구 인헌4길 3 (봉천동),876-2517,7,칼국수,4000
7903,명가영양돌솥밥,1,한식,서울특별시 구로구 구로동로18길 12 (구로동),02-858-5977,7,삼겹살(국내산200g),11000
7901,대형갈비,1,한식,서울특별시 구로구 구로동로 100 (구로동),02-864-0719,7,돼지갈비(국내산200g),1000
879,감베로니,3,경양식일식,서울특별시 용산구 한강대로81길 5 (갈월동),3273-1791       ,7,파스타,7000
7903,명가영양돌솥밥,1,한식,서울특별시 구로구 구로동로18길 12 (구로동),02-858-5977,7,영양돌솥밥,7000
879,감베로니,3,경양식일식,서울특별시 용산구 한강대로81길 5 (갈월동),3273-1791       ,7,돈까스,7000
8188,수제비손칼국수,1,한식,서울특별시 관악구 인헌4길 3 (봉천동),876-2517,7,수제비,4000
7428,신왕짜장,2,중식,서울특별시 관악구 난곡로 105 (신림동),839-9989,7,자장면,4000
7428,신왕짜장,2,중식,서울특별시 관악구 난곡로 105 (신림동),839-9989,7,짬뽕,5000
7428,신왕짜장,2,중식,서울특별시 관악구 난곡로 105 (신림동),839-9989,7,탕수육(중),16000
8119,참참치킨,4,기타외식업(다방패스트푸드등),서울특별시 서대문구 세검정로 49-1 (홍제동),396-9285,7,치킨,8000
8136,미미치킨,4,기타외식업(다방패스트푸드등),서울특별시 서초구 서초대로 108 (방배동),586-7130,7,치킨,13000
8140,더구어,1,한식,서울특별시 서초구 효령로31길 58 (방배동),3474-9293,7,설렁탕,5000
4019,백리향,2,중식,서울특별시 성동구 상원6길 10-1 (성수동1가),498-1013     ,6,짜장면,3000
7541,삼성회관,1,한식,서울특별시 중구 청구로3길 16 (신당동),2231-8520,6,설렁탕,7000
443,무진장,3,경양식일식,서울특별시 용산구 원효로 212 (원효로2가),712-8814        ,6,생선초밥,10000
3450,황진우미용실,5,이 미용업,서울특별시 강북구 솔샘로 167 (미아동) 311호,982-3950        ,6,파마,25000
2322,동해루,2,중식,서울특별시 성동구 왕십리로19길 8-1 (행당동),2292-5342       ,6,짬뽕,4000
2322,동해루,2,중식,서울특별시 성동구 왕십리로19길 8-1 (행당동),2292-5342       ,6,자장면,3500
7731,태능숯불갈비,1,한식,서울특별시 동대문구 고산자로30길 17 (용두동),966-5687,6,삼겹살(200g),13000
7287,썬스튜디오,13,기타서비스업종,서울특별시 강서구 공항대로36길 129 (내발산동),02-2666-5828,6,인화료,220
8054,수원성갈비,1,한식,서울특별시 종로구 창신3길 9 (창신동),745-3576,6,돼지갈비,10000
4019,백리향,2,중식,서울특별시 성동구 상원6길 10-1 (성수동1가),498-1013     ,6,짬뽕,4000
7517,영미용실,5,이 미용업,서울특별시 종로구 지봉로 62 (숭인동),743-6052,6,파마,20000
7443,금메달미용실,5,이 미용업,서울특별시 송파구 오금로32길 10 (송파동 미성맨션),418-4157,6,미용료(커트),8000
7287,썬스튜디오,13,기타서비스업종,서울특별시 강서구 공항대로36길 129 (내발산동),02-2666-5828,6,사진촬영(반명함8장),9000
7517,영미용실,5,이 미용업,서울특별시 종로구 지봉로 62 (숭인동),743-6052,6,커트,7000
4096,늘하얀 세탁,7,세탁업,서울특별시 성동구 마조로 71 (마장동),2297-8272       ,6,세탁료(정장한벌),4000
3450,황진우미용실,5,이 미용업,서울특별시 강북구 솔샘로 167 (미아동) 311호,982-3950        ,6,커트,8000
6714,꽃미용실,5,이 미용업,서울특별시 마포구 임정로 73 (신공덕동),717-3078        ,6,파마,25000
6528,은미용실,5,이 미용업,서울특별시 종로구 사직로 108-6 (내자동),738-1882        ,6,커트,5000
6528,은미용실,5,이 미용업,서울특별시 종로구 사직로 108-6 (내자동),738-1882        ,6,파마,20000
6528,은미용실,5,이 미용업,서울특별시 종로구 사직로 108-6 (내자동),738-1882        ,6,염색,20000
7821,이레이발관,5,이 미용업,서울특별시 종로구 수표로 115 (낙원동),-,6,커트,4000
7252,보아스,5,이 미용업,서울특별시 강서구 등촌로39길 7 (등촌동),02-2647-2080,6,파마,35000
1476,라푸스코 마포점,4,기타외식업(다방패스트푸드등),서울특별시 마포구 만리재옛길 18 (신공덕동),702-4333        ,6,피자(불고기),13900
1476,라푸스코 마포점,4,기타외식업(다방패스트푸드등),서울특별시 마포구 만리재옛길 18 (신공덕동),702-4333        ,6,피자(콤비네이션),14900
